split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
train,Filtered Distilled Tiny CNN-LSTM,ALL_TRAIN,train,6901,3841,1.9140635059115128,2.8359852814322406,11.33160400390625,6.050682067871094,9.931365966796875,-1.2078285217285156
test,Filtered Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,3841,2.7209037535371836,3.5264270210158073,11.338516235351562,7.093618011474606,10.78405479431153,1.0408477783203125
test,Filtered Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,3841,2.8429094364168086,3.3150401834512273,10.853286743164062,5.764364624023434,8.961581420898437,0.15251541137695312
test,Filtered Distilled Tiny CNN-LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,3841,2.174595631266527,3.0327814206540573,11.153167724609375,6.665273666381821,10.534479751586915,1.6177692413330078
test_average,Filtered Distilled Tiny CNN-LSTM,AVERAGE_TEST_CYCLES,test_average,27271,3841,2.579469607073506,3.2914162083736973,11.114990234375,6.507752100626621,10.093371988932294,0.9370441436767578
