method,MAE_percent,MAE_fraction,RMSE_percent,RMSE_fraction,MAX_ERROR_percent,MAX_ERROR_fraction
Filtered-feature MLP,0.4682107416819057,0.004682107416819057,0.5827808044333913,0.005827808044333913,3.6674169031801056,0.036674169031801054
LSTM,0.4920922198886906,0.004920922198886906,0.6211580768267121,0.006211580768267121,3.378965377807617,0.03378965377807617
Filtered-feature CNN-LSTM Teacher,0.500742524799007,0.0050074252479900706,0.6938427788608751,0.006938427788608751,3.1272684733072915,0.03127268473307292
Filtered-feature Distilled Tiny CNN-LSTM,0.5420417688376998,0.005420417688376998,0.7802542049296846,0.007802542049296845,4.2476348876953125,0.042476348876953125
Filtered-feature Tiny CNN-LSTM Student,0.6117197010561171,0.00611719701056117,0.7975020407209173,0.007975020407209174,3.5066070556640625,0.03506607055664063
CNN-LSTM Teacher,0.6634975568215952,0.006634975568215951,0.8337026856235544,0.008337026856235545,5.196771303812663,0.05196771303812663
Distilled Tiny CNN-LSTM,0.7110512081528158,0.007110512081528158,0.8903412800373395,0.008903412800373395,3.428160349527994,0.03428160349527994
Tiny CNN-LSTM Student,0.7559592651077635,0.007559592651077635,1.0312985370091168,0.010312985370091168,7.102691014607747,0.07102691014607747
Instantaneous MLP,1.519985014794382,0.015199850147943821,1.98632722382792,0.0198632722382792,18.749072325120313,0.18749072325120314
