method,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
Filtered-feature MLP,48206,0.4682107416819057,0.5827808044333913,3.6674169031801056,1.0981180465271658,1.551309534784344,0.0776678767021105
LSTM,48029,0.4920922198886906,0.6211580768267121,3.378965377807617,1.2229007403055825,1.6659831206003826,1.097162405649821
CNN-LSTM Teacher,48029,0.6634975568215952,0.8337026856235544,5.196771303812663,1.5851537386576318,2.238738109270732,0.3853338559468587
Distilled Tiny CNN-LSTM,48029,0.7110512081528158,0.8903412800373395,3.428160349527994,1.743554679552713,2.269141432444255,0.7449189821879069
Tiny CNN-LSTM Student,48029,0.7559592651077635,1.0312985370091168,7.102691014607747,2.100634479522704,3.0894173876444473,1.1682852109273274
Instantaneous MLP,48206,1.519985014794382,1.98632722382792,18.749072325120313,,,1.9516767337317065
