split,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
train,ALL_TRAIN_FILES,train_combined,9790,0.6901141532716761,0.8914690083421041,3.7311019897460938,1.7775318145751953,2.4876303100586004,0.7747106552124023
test,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,0.8438236101582139,1.0208947834877744,3.312084197998047,1.9156646490097045,2.2844354820251462,2.059516429901123
test,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,0.5852209785657748,0.7554006809425641,2.990955352783203,1.5458526611328116,1.9781390380859374,0.2965984344482422
test,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,0.7041090357344585,0.8947283756816802,3.9814414978027344,1.769146728515623,2.544849777221681,-0.12135791778564453
test_average,AVERAGE_TEST_CYCLES,test_average,48029,0.7110512081528158,0.8903412800373395,3.4281603495279946,1.743554679552713,2.269141432444255,0.7449189821879069
