epoch,train_RMSE,val_RMSE
1,61.28370622100743,60.6645348701828
2,61.17340416421211,60.52152695206372
3,60.943663463384894,60.18488360746201
4,60.52135963073128,59.68142761977444
5,59.99095143074975,59.13215758406651
6,59.44690877632294,58.58957068428433
7,58.89760137539674,58.02928947953783
8,58.32747958869676,57.440619814618124
9,57.713500355650154,56.819463355575834
10,57.07546017595369,56.16510955433097
11,56.42449196172338,55.47691621225783
12,55.72410251227231,54.75429848993593
13,54.982566175289676,53.996335505725526
14,54.21965252663185,53.183065693531624
15,53.33878798303015,52.234314238672404
16,52.401881757259126,51.29307926483601
17,51.41591998880149,50.33683417736956
18,50.51532966249281,49.3573989593379
19,49.48652282512211,48.35264240291062
20,48.538396186748834,47.32226203780838
21,47.46727746055869,46.26713945511841
22,46.404905981214306,45.18769450165609
23,45.33716438931895,44.08574021420503
24,44.229279657830865,42.96330221146953
25,43.10389043788801,41.82287450703562
26,42.062224865754175,40.667606864024776
27,40.93947174661617,39.500944102146946
28,39.654339723193885,38.32682714119364
29,38.61183559859772,37.149568693345046
30,37.344686223369756,35.774480800739795
31,35.97775111777454,34.47768045009336
32,34.68317692104656,33.21455869313466
33,33.49547992489609,31.924332802775123
34,32.19418000016699,30.630554941040387
35,30.915352710314092,29.290365943589286
36,29.70980189740615,27.99591252601105
37,28.454257736791032,26.710048610538763
38,27.07553111361011,25.43686054747556
39,25.898562866523903,24.183305716767197
40,24.543756223461916,22.555589965059106
41,23.078883964386364,21.300704958716302
42,21.863118649550525,20.049837198333744
43,20.633355122262415,18.80651638644834
44,19.611103099467357,17.634335473662063
45,18.505860383266864,16.49314691814973
46,17.349248135508414,15.091105164239131
47,16.01589967785399,13.777843789656911
48,15.141876619469286,12.768617687762838
49,14.129908919229695,11.745149950651173
50,13.194613852306913,10.035700206038854
51,11.87312945335804,8.865487602064722
52,10.67769826866445,7.955680151922116
53,10.228980979674198,7.036207562168
54,9.579483599297614,6.217920909419082
55,8.955879906602956,5.654449176219572
56,8.986666537497175,5.068937753005817
57,8.31480952761528,4.689791106755183
58,8.399982370630566,4.258696018209411
59,8.306483784900298,3.901442109535603
60,8.30905729534423,3.581288234646396
