split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
train,LSTM,ALL_TRAIN,train,6901,5825,0.600902913359866,0.7628199863532273,3.8981704711914062,1.5200653076171875,1.9919204711914062,0.1408538818359375
test,LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,5825,1.1052807890183745,1.3088377225017012,3.3803939819335938,2.374848175048828,2.8694376754760746,2.272043228149414
test,LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,5825,0.974798816797132,1.229580269651613,5.9794464111328125,2.3710906982421864,3.136688537597655,1.5422191619873047
test,LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,5825,0.6065560590294687,0.7967128046137985,3.0554141998291016,1.6331799507141092,2.40492971420288,3.0247020721435547
test_average,LSTM,AVERAGE_TEST_CYCLES,test_average,27271,5825,0.8955452216149918,1.1117102655890376,4.138418197631836,2.1263729413350414,2.8036853090922036,2.2796548207600913
