temperature_C,method,soc_range,sample_count,MAE_percent,RMSE_percent,P95_ABS_ERROR_percent
0,Coulomb Counting,0-20,901,0.1162309826929878,0.13037934205260882,0.1994185782161395
0,Coulomb Counting,20-40,6052,0.10019063260432547,0.12216515433298039,0.20499933575871335
0,Coulomb Counting,40-60,6666,0.07011053917487484,0.09350062590369425,0.1622602756230922
0,Coulomb Counting,60-80,6959,0.05492578133625697,0.06471903782885319,0.11384109417424919
0,Coulomb Counting,80-100,6870,0.0348528028808054,0.03855725783227438,0.05932035647205324
0,Filtered CNN-LSTM Teacher,0-20,901,1.245167008593802,1.4641558258830263,2.6681669037917572
0,Filtered CNN-LSTM Teacher,20-40,6052,2.23366210577435,2.9873351488865336,6.400133246849323
0,Filtered CNN-LSTM Teacher,40-60,6666,1.2419245926620504,1.676613251889064,3.928568163904652
0,Filtered CNN-LSTM Teacher,60-80,6959,0.4870135656803727,0.6077230164417532,1.208077366269871
0,Filtered CNN-LSTM Teacher,80-100,6693,0.7054922058413321,0.8527837180176607,1.5511244759395193
0,Filtered Distilled Tiny CNN-LSTM,0-20,901,0.9126634723465191,1.1268350333191872,2.169205516946718
0,Filtered Distilled Tiny CNN-LSTM,20-40,6052,1.674366544535761,1.8949062585672496,3.15420039906995
0,Filtered Distilled Tiny CNN-LSTM,40-60,6666,1.1567082314213182,1.3943898831311827,2.614355506896974
0,Filtered Distilled Tiny CNN-LSTM,60-80,6959,1.9131244272391141,2.15957977100348,3.4636944874730506
0,Filtered Distilled Tiny CNN-LSTM,80-100,6693,5.378384520737853,5.737815901446895,9.939185932027883
0,Filtered Tiny CNN-LSTM Student,0-20,901,1.3038861324875792,1.622719687420409,3.017009524641366
0,Filtered Tiny CNN-LSTM Student,20-40,6052,0.9789730566992297,1.2243442317084223,2.346739838172653
0,Filtered Tiny CNN-LSTM Student,40-60,6666,1.071182516760208,1.2881583385876063,2.4183662940715855
0,Filtered Tiny CNN-LSTM Student,60-80,6959,0.6618121430058365,0.9057688769364939,1.9433898852118052
0,Filtered Tiny CNN-LSTM Student,80-100,6693,4.357715816617001,5.847851230481918,11.665826544399916
0,Filtered-feature MLP,0-20,901,1.4099459277156288,1.7013583063347284,3.118751339263362
0,Filtered-feature MLP,20-40,6052,1.266069975767341,1.470493533249458,2.6145327783565673
0,Filtered-feature MLP,40-60,6666,0.9081130151700179,1.1599837246992721,2.310882518375964
0,Filtered-feature MLP,60-80,6959,0.559746591512917,0.6822819308407474,1.2484167346415076
0,Filtered-feature MLP,80-100,6870,0.9154084732288132,1.1353304140667335,2.2127513241535515
0,Instantaneous MLP,0-20,901,4.1345461161886305,4.320845968643901,5.394287877434092
0,Instantaneous MLP,20-40,6052,2.426491704002172,3.3550090246764266,6.67995767164785
0,Instantaneous MLP,40-60,6666,1.8873617071292812,2.511954044535453,4.832729175408847
0,Instantaneous MLP,60-80,6959,1.6140243930664215,2.1923171138476216,4.55041133756194
0,Instantaneous MLP,80-100,6870,1.9770205565134944,2.869819337624242,5.941844382484689
0,LSTM,0-20,901,1.3459518270738193,1.5804202908004361,2.803403643904062
0,LSTM,20-40,6052,0.8425092567845335,1.0884886948633627,2.307794790728337
0,LSTM,40-60,6666,0.7634055167125493,0.98841201758926,1.9542802126654275
0,LSTM,60-80,6959,0.8548132758624432,1.0749948715282422,2.1137985176875684
0,LSTM,80-100,6693,0.8358526334716043,1.0715087511673447,2.1473104016534243
10,Coulomb Counting,0-20,3215,0.11208601674908189,0.11918484498401366,0.2290722978913351
10,Coulomb Counting,20-40,9504,0.09790523675156376,0.10988774865084011,0.18591344819757863
10,Coulomb Counting,40-60,10183,0.10113254618387182,0.11156621916774384,0.1729794846925834
10,Coulomb Counting,60-80,10632,0.12605452987743532,0.13044031724875954,0.17740514623670608
10,Coulomb Counting,80-100,10620,0.06269304703504834,0.07039229877891374,0.12256838708879197
10,Filtered CNN-LSTM Teacher,0-20,3215,2.3460592523303703,2.718431768598279,4.539513189381577
10,Filtered CNN-LSTM Teacher,20-40,9504,1.3555712266548539,1.6095598997388734,3.0566555132372657
10,Filtered CNN-LSTM Teacher,40-60,10183,0.914461262566302,1.1198094762033393,2.1228230285644547
10,Filtered CNN-LSTM Teacher,60-80,10632,0.5200486270113411,0.6500583815932622,1.2528823457915161
10,Filtered CNN-LSTM Teacher,80-100,10443,0.6013107432346104,0.7460253610884111,1.404886003165407
10,Filtered Distilled Tiny CNN-LSTM,0-20,3215,4.29748045691497,5.025381863905142,8.554186891226925
10,Filtered Distilled Tiny CNN-LSTM,20-40,9504,2.3811557457688726,2.907062194542522,5.651696790234792
10,Filtered Distilled Tiny CNN-LSTM,40-60,10183,1.0788611694419028,1.3932598800218023,2.817341293861125
10,Filtered Distilled Tiny CNN-LSTM,60-80,10632,1.1769813606594963,1.3578434696773953,2.3420791557575047
10,Filtered Distilled Tiny CNN-LSTM,80-100,10443,2.008109992667792,2.7891726426681682,6.523009651973325
10,Filtered Tiny CNN-LSTM Student,0-20,3215,1.9793888623741955,2.396055085455239,4.64163196761034
10,Filtered Tiny CNN-LSTM Student,20-40,9504,0.7758822143666086,0.9397745103593753,1.8744843418515977
10,Filtered Tiny CNN-LSTM Student,40-60,10183,0.6084316362468184,0.7666395104968448,1.4078003871523115
10,Filtered Tiny CNN-LSTM Student,60-80,10632,0.5346807781032513,0.7094475345860108,1.3888142842259918
10,Filtered Tiny CNN-LSTM Student,80-100,10443,1.0708046513414762,1.4550284908323294,3.358883839574359
10,Filtered-feature MLP,0-20,3215,0.9532172059964945,1.149305072522688,2.206091249847821
10,Filtered-feature MLP,20-40,9504,0.793259465646452,0.9649703530621189,1.8179726335016153
10,Filtered-feature MLP,40-60,10183,0.7486704067640669,0.969102251427155,1.884877440792606
10,Filtered-feature MLP,60-80,10632,0.5961384196689308,0.7629407185964591,1.5188274054112274
10,Filtered-feature MLP,80-100,10620,0.5770941335815485,0.7986918774024552,1.696517055667404
10,Instantaneous MLP,0-20,3215,3.443084656284705,4.194307449732058,7.510251291555168
10,Instantaneous MLP,20-40,9504,2.3795939149125274,3.1794998265353613,6.27248599168556
10,Instantaneous MLP,40-60,10183,2.135178214695722,2.976368524207652,5.829456254327147
10,Instantaneous MLP,60-80,10632,1.6643380018071245,2.1501003785248813,4.353609109930431
10,Instantaneous MLP,80-100,10620,1.520753899149622,1.9396708394753097,3.9907269148092905
10,LSTM,0-20,3215,0.825591935270753,1.027869616359638,1.8862930831909177
10,LSTM,20-40,9504,0.9376516250878647,1.1479567255662555,2.1152725853755534
10,LSTM,40-60,10183,0.8624767094744643,1.0607428344067613,1.9530087243441931
10,LSTM,60-80,10632,0.7264413455073228,0.9175615256581522,1.7886224362603582
10,LSTM,80-100,10443,0.6635991104674613,0.8435352207652017,1.694684869174301
