epoch,train_RMSE,val_RMSE
1,59.81349990060646,59.01460318151665
2,59.36210629290229,58.37663733985861
3,58.65652331893345,57.57487694366463
4,57.8123424700966,56.69760065401247
5,56.907315330937166,55.80664906691787
6,55.97032964847364,54.74791751889975
7,54.817280800715295,53.67014416787046
8,53.751928796766286,52.54405703490643
9,52.585139213680506,51.36163289834519
10,51.341977427143,50.119780841905374
11,50.1231376851438,48.82148454846109
12,48.75580052721641,47.46892229642859
13,47.40262393339209,46.06711094628683
14,45.94429879567723,44.62031936674843
15,44.45662074514494,43.135187598753845
16,42.94508559791575,41.61954350262852
17,41.40145251652676,40.08267974849377
18,39.87139118453895,38.535753171060996
19,38.263178712313675,36.99334326995956
20,36.75866956802787,35.47225856820633
21,35.25910454020402,33.993890550017404
22,33.768412113457444,32.58313623028886
23,32.379130960308245,31.270938297902894
24,31.089960998107944,30.09273082873119
25,29.978583041143075,29.089610590998593
26,29.021691002093164,28.30645997417429
27,28.455210753016388,27.790207885096414
28,27.989320708364332,27.11870224089768
29,22.569446230635613,19.362478627832783
30,19.096573288554048,16.989576846865457
31,17.10146729986342,14.912795830835595
32,15.448144991513685,13.22031286934168
33,13.66219679088746,11.445569802995147
34,12.164672871885596,9.60579122069525
35,10.764640994328925,8.109743319399385
36,9.843914602719062,6.644125054181002
37,8.82008785133015,5.415950297399466
38,8.050137864405462,4.443369677185859
39,7.708107344980199,3.908570843754711
40,7.516130698458252,3.309215716886506
41,7.628653608435803,2.72448712693378
42,7.532748999506657,2.4424087785380015
43,7.084790955297659,2.5802327181223768
44,7.176323887709609,1.9846835760054662
45,7.038388591005786,2.4201355625046417
46,6.899517284691962,1.9690586029871433
47,6.977669830815059,1.9780377698711582
48,7.010066056835508,1.6739622260449798
49,7.052150534247355,1.8250812721445753
50,7.008958426369945,1.931075735779012
51,6.903276969729026,1.4931088943219597
52,7.040832606936633,2.2046317501035073
53,6.988067538393041,1.394363692445957
54,6.99024294111488,1.2219770696208663
55,7.017797658489247,2.418595684165829
56,7.017797502005619,1.4694852409075905
57,6.955486179584053,1.6568058448728928
58,6.766724329450899,1.472723597597959
59,6.796573954591687,1.3246960525254607
60,7.108301781519929,1.1473713291972671
