epoch,train_RMSE,val_RMSE
1,60.020031230506575,59.17649176602458
2,59.28406850318827,57.96530692268113
3,57.82675730218,56.30380456241945
4,56.183472008495976,54.73326433357849
5,54.65213020168918,53.28040230264079
6,53.235281589993576,51.81493369208943
7,51.605955345586636,50.195049245418616
8,49.971095308777265,48.48455375813002
9,48.23146429175951,46.73139983425224
10,46.41770237665321,44.93201380149584
11,44.616109627035584,43.089291148947325
12,42.712328680103894,41.21286799388329
13,40.818947730737705,39.31854366550931
14,38.876617959972826,37.42626213845366
15,36.981891871679814,35.564257425820095
16,35.09791229844757,33.76793324190403
17,33.31168940828459,32.082445748342074
18,31.739849327522126,30.563537455231582
19,30.22474756303469,29.278482768453973
20,28.999146547584488,28.302122391014027
21,28.175566357757106,27.701809666320763
22,26.629860243759342,21.591894310188344
23,20.04651363240542,17.70940646641152
24,17.119134368813572,15.07956143983549
25,14.886815207782293,12.70659834895093
26,12.809268392187358,10.568581179235453
27,10.941733509178167,8.572280087635898
28,9.367879351223376,6.979158437543734
29,8.176725796862707,5.631266515371002
30,7.317180235446669,4.733569589727293
31,6.8297174717025255,4.161402899699563
32,6.662627406764286,3.009915496045522
33,6.313618572027032,2.647001614295228
34,6.054132351748919,2.3872007891518154
35,6.026929283077325,2.5434956041451424
36,6.065931698551612,2.126028933775878
37,5.973367199456005,1.628639107806067
38,5.802613851056773,2.108898872045468
39,5.9542136592933,2.0593557956014297
40,5.76331187648407,2.4966293500582473
41,5.91927763752594,1.3710038897419514
42,5.883502147753496,1.9270260639100785
43,5.631014701713666,2.303528057632158
44,5.845365096798015,2.439109368762882
45,5.751054659532693,2.374662576096082
46,5.64003936921904,1.8782971955382475
47,5.668962127610427,0.9483340815008751
48,5.8011102189808685,0.8498238479183154
49,5.75180277752779,2.0498571439140147
50,5.715760269585559,2.0760465855084793
51,5.699339117810189,1.8767041409388927
52,5.650575103911282,1.0010178273697103
53,5.6604200211111895,1.8899375989997111
54,5.753843759223572,1.0211632772764756
55,5.719648836022517,1.7322138475413167
56,5.629923187410252,0.8562957737514666
57,5.663785014754654,1.398804259556041
58,5.569939630653518,0.9842239445635407
59,5.639528976109973,0.8371359532098082
60,5.812402335968832,0.768012314702683
61,5.761625672359065,1.0731665434486006
62,5.7681370090653745,1.1067261032340616
63,5.630327485194399,1.8047968843676683
64,5.737426031820423,0.8727112536739305
65,5.569795240064283,1.0062514642740341
66,5.600748643952865,1.2268968843129966
67,5.6763586316168,1.4876243763704293
68,5.6197688943552215,1.2211155065159074
69,5.6781071027998955,1.0289966355278983
70,5.717063583141521,1.212636825864055
71,5.596803564359922,1.064681506373781
72,5.6716611818536355,1.1408470146765084
73,5.730756475799317,0.989456171933922
74,5.641953363702788,1.35920209990873
75,5.772690373536938,1.0511383244076749
