split,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,MAE_fraction,RMSE_fraction,MAX_ERROR_fraction,P95_ABS_ERROR_fraction,P99_ABS_ERROR_fraction,FINAL_ERROR_fraction
train,ALL_TRAIN_FILES,train_combined,9790,0.5863697952099061,0.7583851178452578,4.073326110839844,1.503966426849365,2.01214382171631,-0.1697120666503906,0.00586369795209906,0.007583851178452577,0.040733261108398436,0.01503966426849365,0.020121438217163102,-0.001697120666503906
test,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,0.6033950968803788,0.7865407435090769,3.5938491821289062,1.548113632202148,2.1204493331909178,2.203301906585694,0.006033950968803789,0.007865407435090769,0.03593849182128906,0.01548113632202148,0.02120449333190918,0.02203301906585694
test,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,0.5576015438830592,0.7666208064891283,3.8030929565429688,1.4526378631591794,2.5695095825195224,-0.2731027603149414,0.005576015438830592,0.007666208064891283,0.03803092956542969,0.014526378631591794,0.025695095825195226,-0.002731027603149414
test,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,0.6741624624049131,0.8393445721645467,3.1228790283203125,1.549760055541992,2.2169459915161185,-0.8385286331176758,0.006741624624049131,0.008393445721645467,0.031228790283203123,0.015497600555419919,0.022169459915161185,-0.008385286331176758
test_average,AVERAGE_TEST_CYCLES,test_average,48029,0.6117197010561171,0.7975020407209173,3.5066070556640625,1.51683718363444,2.302301635742186,0.3638901710510254,0.00611719701056117,0.007975020407209174,0.03506607055664063,0.015168371836344402,0.02302301635742186,0.003638901710510254
