epoch,train_RMSE,val_RMSE
1,63.12713652236566,60.8895845272921
2,59.54857609874341,57.053437464910914
3,55.730055335802284,52.84400410199108
4,51.17426078135235,48.099402181673476
5,46.14589670015569,42.821952366656376
6,40.630846935010474,37.09068114674746
7,34.89264538440351,31.254315131761707
8,29.409812302613293,26.226462429061392
9,25.244018795903177,23.464466257680197
10,23.433316683955493,19.135748741107896
11,16.54548192692273,11.774307107483146
12,10.171918013822658,5.459188418592755
13,5.960307356698639,3.3138265292821707
14,5.238925346843915,2.3664779355011674
15,4.886895133330329,2.803880920890967
16,5.05998567177431,2.3272656384408883
17,4.845334489139579,1.972375347419552
18,4.631289201125236,1.9553917510372223
19,4.593372859617354,1.6820858178897198
20,4.71093855557117,1.3925317272359157
21,4.537415692755826,1.661022005416553
22,4.656465095679556,1.236757996178003
23,4.462006911000612,1.4390152118878228
24,4.451470976623526,1.401282246105483
25,4.614151068481399,1.4573826915715662
26,4.423907637445469,1.1403676095338566
27,4.4255719624192915,1.537806894330523
28,4.540786067006337,1.1988864898146967
29,4.481540670960658,1.27046150750613
30,4.435237687773687,1.2612879345333636
31,4.4025187670946035,1.2062413368506968
32,4.3186064938623785,1.484760836598805
33,4.468852595505386,1.2345577539288917
34,4.501271749354552,1.1567355502520262
35,4.481400600410161,1.2086112535882287
36,4.385313307043867,1.2947300097065286
37,4.510696644506356,1.321585228003597
38,4.363170586761055,1.3951352732026965
