split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
train,Filtered Tiny CNN-LSTM Student,ALL_TRAIN,train,8278,3841,0.8180980672004518,1.1118986327197378,4.691802978515625,2.4066078186035154,3.4133207702636694,1.5147180557250977
test,Filtered Tiny CNN-LSTM Student,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12537,3841,0.8405926244875228,1.1349674624791946,5.007270812988281,2.219046020507809,4.199473876953125,-0.9288101196289062
test,Filtered Tiny CNN-LSTM Student,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10452,3841,0.6134880945867749,0.8513065678980103,4.5649261474609375,1.778501319885251,2.8014308166503867,-0.5327491760253906
test,Filtered Tiny CNN-LSTM Student,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,20988,3841,0.9457704964105756,1.3200462564399655,4.898895263671875,2.8322406768798785,4.641302547454834,4.647462844848633
test_average,Filtered Tiny CNN-LSTM Student,AVERAGE_TEST_CYCLES,test_average,43977,3841,0.7999504051616245,1.1021067622723901,4.823697408040364,2.276596005757646,3.880735747019448,1.0619678497314453
