split,method,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,parameter_count,temperature_C
test,Filtered CNN-LSTM Teacher,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,0.9932,1.4697,5.5375,3.4851,4.5864,0.4788,50689.0,0
test_average,Filtered CNN-LSTM Teacher,AVERAGE_TEST_CYCLES,test_average,27271,1.2174,1.735,7.5467,3.9408,5.66,-0.704,50689.0,0
train,Filtered Tiny CNN-LSTM Student,ALL_TRAIN,train,6901,2.1258,3.7073,13.0643,9.6051,11.6611,0.4957,3841.0,0
test,Filtered Tiny CNN-LSTM Student,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,1.9188,3.3315,13.0701,8.7916,12.5118,2.6927,3841.0,0
test,Filtered Tiny CNN-LSTM Student,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,1.8259,2.8455,12.5833,7.1203,10.6948,1.6789,3841.0,0
test,Filtered Tiny CNN-LSTM Student,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,1.627,3.0012,12.884,8.3691,12.268,3.2876,3841.0,0
test_average,Filtered Tiny CNN-LSTM Student,AVERAGE_TEST_CYCLES,test_average,27271,1.7906,3.0594,12.8458,8.0937,11.8248,2.553,3841.0,0
train,Filtered Distilled Tiny CNN-LSTM,ALL_TRAIN,train,6901,1.9141,2.836,11.3316,6.0507,9.9314,-1.2078,3841.0,0
test,Filtered Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,2.7209,3.5264,11.3385,7.0936,10.7841,1.0408,3841.0,0
test,Filtered Distilled Tiny CNN-LSTM,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,2.8429,3.315,10.8533,5.7644,8.9616,0.1525,3841.0,0
test,Filtered Distilled Tiny CNN-LSTM,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,2.1746,3.0328,11.1532,6.6653,10.5345,1.6178,3841.0,0
test_average,Filtered Distilled Tiny CNN-LSTM,AVERAGE_TEST_CYCLES,test_average,27271,2.5795,3.2914,11.115,6.5078,10.0934,0.937,3841.0,0
