method,split,cycle_name,file_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
Instantaneous MLP,test,UDDS,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,22419,1.3107285569026796,1.646485659051051,13.894685469943871,,,4.078501332486432
Instantaneous MLP,test,LA92,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,14088,1.4026749350082508,1.885752986415772,16.761293819873558,,,1.49720612285582
Instantaneous MLP,test,NN,03-21-17_16.27 25degC_NN_Pan18650PF.mat,11699,1.8465515524722167,2.4267430260169367,25.591237685543515,,,0.2793227458528662
Instantaneous MLP,test_average,test_average,AVERAGE_TEST_CYCLES,48206,1.519985014794382,1.98632722382792,18.749072325120313,,,1.9516767337317065
Filtered-feature MLP,test,UDDS,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,22419,0.6546260072338999,0.7578495036546997,3.9200725377856,1.3245683450282897,1.6225157694282255,1.6594062600139825
Filtered-feature MLP,test,LA92,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,14088,0.3340798416083868,0.4406985768359506,2.8930148848195465,0.8802179042594345,1.3478217084903046,-0.5759552578927014
Filtered-feature MLP,test,NN,03-21-17_16.27 25degC_NN_Pan18650PF.mat,11699,0.4159263762034306,0.5497943328095236,4.18916328693517,1.089567890293773,1.6835911264345014,-0.8504473720149495
Filtered-feature MLP,test_average,test_average,AVERAGE_TEST_CYCLES,48206,0.4682107416819057,0.5827808044333913,3.6674169031801056,1.0981180465271658,1.551309534784344,0.0776678767021105
