Method,Cycle,MAE (%),RMSE (%),Max Error (%),P95 Abs Error (%),P99 Abs Error (%)
Instantaneous MLP,UDDS,1.3107285569026796,1.646485659051051,13.894685469943871,,
Instantaneous MLP,LA92,1.4026749350082508,1.885752986415772,16.761293819873558,,
Instantaneous MLP,NN,1.8465515524722167,2.4267430260169367,25.591237685543515,,
Instantaneous MLP,Average,1.519985014794382,1.98632722382792,18.749072325120313,,
Filtered-feature MLP,UDDS,0.6546260072338999,0.7578495036546997,3.9200725377856,1.3245683450282897,1.6225157694282255
Filtered-feature MLP,LA92,0.3340798416083868,0.4406985768359506,2.8930148848195465,0.8802179042594345,1.3478217084903046
Filtered-feature MLP,NN,0.4159263762034306,0.5497943328095236,4.18916328693517,1.089567890293773,1.6835911264345014
Filtered-feature MLP,Average,0.4682107416819057,0.5827808044333913,3.6674169031801056,1.0981180465271658,1.551309534784344
