split,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,MAE_fraction,RMSE_fraction,MAX_ERROR_fraction,P95_ABS_ERROR_fraction,P99_ABS_ERROR_fraction,FINAL_ERROR_fraction
train,ALL_TRAIN_FILES,train_combined,9790,0.5794936020113718,0.7686064456914724,4.325355529785156,1.4145740747451776,2.662068099975586,-0.1034383773803711,0.005794936020113718,0.007686064456914724,0.04325355529785156,0.014145740747451776,0.026620680999755862,-0.001034383773803711
test,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,0.6128257447363865,0.8700428316170425,4.361053466796875,1.6471832275390617,2.726699066162108,2.294670581817627,0.006128257447363865,0.008700428316170426,0.04361053466796875,0.016471832275390615,0.027266990661621082,0.02294670581817627
test,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,0.5204077233981997,0.791200325114997,4.501487731933594,1.1691802978515615,3.650541076660151,0.187413215637207,0.0052040772339819975,0.00791200325114997,0.045014877319335934,0.011691802978515615,0.03650541076660151,0.00187413215637207
test,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,0.4928918383785129,0.6795194580570142,3.8803634643554688,1.323554420471191,2.5039498138427736,-0.4852848052978515,0.0049289183837851296,0.0067951945805701415,0.038803634643554685,0.01323554420471191,0.025039498138427735,-0.004852848052978515
test_average,AVERAGE_TEST_CYCLES,test_average,48029,0.5420417688376998,0.7802542049296846,4.2476348876953125,1.3799726486206048,2.960396652221678,0.6655996640523275,0.005420417688376998,0.007802542049296845,0.042476348876953125,0.013799726486206048,0.02960396652221678,0.006655996640523275
