epoch,train_total_RMSE,train_supervised_RMSE,train_distill_RMSE,val_total_RMSE,val_supervised_RMSE,val_distill_RMSE,alpha
1,59.99789505165773,60.08895229650668,59.86104700478035,59.236460494809485,59.3315815756299,59.0934917861889,0.6
2,59.670097328651146,59.76101283203937,59.53346061124662,58.68100128754941,58.77593966908887,58.53830501728655,0.6
3,59.05374865019283,59.14441507160192,58.917484460404836,58.0441419275828,58.138865533710536,57.90176596575552,0.6
4,58.36970416886563,58.46044292675377,58.23332867420294,57.42708224688614,57.52158010463877,57.28504317773532,0.6
5,57.768940899677695,57.859495768558645,57.632839120278646,56.78173758046024,56.87598728538697,56.64006896278795,0.6
6,57.039541089939945,57.12927124090217,56.904678650841944,56.082299928180326,56.176273297902426,55.94104388215329,0.6
7,56.36374193108928,56.45361158778463,56.22866631691421,55.32458598537476,55.41824505310164,55.18379933444575,0.6
8,55.58060491640994,55.67030429185668,55.44578102919127,54.50909202400321,54.60239807004817,54.36883271418584,0.6
9,54.760995324781135,54.85113498959939,54.6255043619667,53.63572836665757,53.72863628849959,53.49606394326479,0.6
10,53.80313541738069,53.89239968094956,53.66895806109117,52.70620868165106,52.79866682739252,52.56721655042594,0.6
11,52.83742729700678,52.925849145880505,52.70451385187246,51.722493255775575,51.81444130862553,51.58426387278271,0.6
12,51.88207647573664,51.97032076153483,51.74942529599637,50.68644130367854,50.77781238364597,50.54907501008302,0.6
13,50.7779711208335,50.86592285213581,50.645755571518905,49.60047065757668,49.691187461441544,49.46408350147231,0.6
14,49.720171550230745,49.80760101772243,49.588735938795374,48.466577965516606,48.55655228217145,48.331302433535505,0.6
15,48.548637697076025,48.63546057732138,48.41810981638263,47.26138978959199,47.35173200039783,47.12555174163084,0.6
16,47.28687718747129,47.374547360689455,47.15506442955359,46.02671343480191,46.11635303857109,45.89192573488554,0.6
17,46.041825128489485,46.128097556731745,45.91211033049995,44.75389244157289,44.842260972665336,44.62101150768268,0.6
18,44.66047724262541,44.74645504682815,44.53119795817002,43.44087610530979,43.529371145741926,43.30779448871257,0.6
19,43.39593403114635,43.481285456902164,43.267589002721515,42.08674020605391,42.174529256042085,41.95471220228501,0.6
20,42.051080860600294,42.136222870794136,41.92304232772888,40.6976477840704,40.78356674453879,40.568428158868194,0.6
21,40.569810997759646,40.654654004468064,40.44221129314172,39.27664085180354,39.362549184730305,39.14742487090866,0.6
22,39.19087357592551,39.274494114272876,39.065105452881404,37.83079458000701,37.91647475197539,37.70190923495702,0.6
23,37.69323359886039,37.77564863890443,37.56927008535946,36.36628070163778,36.450015606242374,36.240315584067595,0.6
24,36.30690347290007,36.388339586220376,36.184404071933486,34.88198189800592,34.96457994293564,34.75771679718225,0.6
25,34.847163488695315,34.92796934103263,34.72560095027468,33.398483004354965,33.48141647277542,33.27369522528738,0.6
26,33.36014515247179,33.44069736332657,33.23894967406483,31.906145935187784,31.986426335659356,31.78534515313474,0.6
27,31.908700514609073,31.98670622652395,31.791332126606978,30.44210974782197,30.51817505666193,30.327654072850738,0.6
28,30.22481355987047,30.300466581152037,30.110976500865938,28.941447110326806,29.01683134776855,28.828001143026615,0.6
29,28.886774061877198,28.962618820543987,28.772630841752253,27.297011170596246,27.37279149731479,27.182944571659956,0.6
30,27.358811598606913,27.433624316150304,27.2462064272814,25.801739254072704,25.87372265302736,25.693386025380516,0.6
31,26.014512855585046,26.08538640687947,25.90783786045402,24.350432330607603,24.419038242955793,24.24715949657493,0.6
32,24.49881825991247,24.565140789811483,24.398995634917437,22.963700284616998,23.026220882822507,22.86959891837852,0.6
33,23.288251398865004,23.34986932237864,23.195516568839345,21.60164118995613,21.66035666893301,21.51326750428529,0.6
34,21.820545893046518,21.87526755957853,21.738203899114335,20.291055838016028,20.340499782367306,20.21666318804823,0.6
35,19.911673733405475,19.97143498429773,19.82169348047013,17.156293402722877,17.228672277267915,17.047148900755552,0.6
36,17.66223714096591,17.734128400284558,17.553847463098332,15.580150770209542,15.654983438819938,15.4672229359883,0.6
37,16.20220214627051,16.268760042564153,16.101848790952946,13.995553209628932,14.068549588511747,13.88533913241825,0.6
38,14.960386816478259,15.024793429366703,14.863253095979388,12.447745515080356,12.51640281212892,12.344043583336244,0.6
39,13.917459093298474,13.976256494826067,13.828793747739494,10.917546112123894,10.9866043368056,10.813131854167203,0.6
40,12.476139428778149,12.536602460643573,12.384890953923561,9.208566359481406,9.291029789969757,9.083467628349508,0.6
41,11.74133696652418,11.796957134440895,11.657408653376715,7.972209535500788,8.046975974032739,7.858726277510496,0.6
42,10.564074145402802,10.616384707706738,10.485118630624633,6.465171406443704,6.551417411436777,6.3336007245821655,0.6
43,9.948589124893536,10.001847460625534,9.86816221020414,5.522293650069034,5.607080186766121,5.392614909554005,0.6
44,9.507722602621183,9.551399538019368,9.44182791047922,4.8918826305192935,4.979170518604954,4.757949200750658,0.6
45,9.319008440229423,9.360913557262785,9.255794737698094,3.926048896737685,4.0245724753082515,3.7734433128675464,0.6
46,8.421701044405124,8.45914106303371,8.365226601962672,3.1178534922065766,3.212023623283422,2.971006961009301,0.6
47,8.069247518533476,8.100813927306659,8.021664718301917,2.740718541566148,2.8370261716768312,2.5895499728798894,0.6
48,8.266959456370191,8.298110142870568,8.220011704269274,2.628297133824377,2.724692504052188,2.4766793689769995,0.6
49,8.07489262745779,8.104185950225165,8.03075198777329,2.2007714436197143,2.2825354520921186,2.072084755154563,0.6
50,8.147197309705799,8.174212709253363,8.106505173446562,2.54257252502528,2.626015875292611,2.412000942495741,0.6
51,7.905241331345536,7.9264556426021855,7.873312398206188,1.6657197392128338,1.7677840813626227,1.499654889142679,0.6
52,7.9531659952287965,7.9765387257268765,7.9179772759929286,2.174245120185709,2.2484159191545974,2.0579828445268196,0.6
53,8.000305314451301,8.014851583911218,7.978435760253397,1.733338989957725,1.8162009502595335,1.6010250771564185,0.6
54,7.765686492648544,7.785453115241785,7.735941556083795,1.473118959785932,1.5731389812807541,1.3088350899041452,0.6
55,7.8566874051190325,7.874256122752982,7.8302600496073245,1.654433135598972,1.7266367210211835,1.539792502531247,0.6
56,7.8251042530724035,7.843024110071453,7.798146986470569,1.5566606891253196,1.6054423160650781,1.480477526797244,0.6
57,8.164335329757785,8.183647814954393,8.135280310337254,1.5092626051983782,1.5817746554786878,1.3934372743519552,0.6
58,7.838309455580423,7.853825655193202,7.814977050196119,1.3472630023792518,1.415361513791328,1.2381121402633004,0.6
59,8.011822865201925,8.024781489955771,7.9923451097727245,1.6347973017204311,1.7143780677759617,1.507570000157255,0.6
60,7.964476864810785,7.9814260335241,7.938985020759613,2.32412521558773,2.398133000730083,2.2084682951178563,0.6
