split,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
train,ALL_TRAIN_FILES,train_combined,9790,0.8118900397215971,1.0531544362155263,8.098804473876953,2.115694999694824,2.881101303100588,1.6957483291625977
test,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,0.7794660064743328,1.030536342999573,4.224754333496094,2.0471973419189453,2.6728929519653315,2.0269742012023926
test,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,0.7146710802258119,1.016312807872638,9.86970329284668,2.135693359374999,3.4339065551757737,0.8064279556274414
test,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,0.7737407086231455,1.047046460155139,7.213615417480469,2.119012737274169,3.1614526557922367,0.6714534759521484
test_average,AVERAGE_TEST_CYCLES,test_average,48029,0.7559592651077635,1.0312985370091168,7.102691014607747,2.100634479522704,3.0894173876444473,1.1682852109273274
