split,method,file_name,cycle_name,sample_count,parameter_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
train,Filtered CNN-LSTM Teacher,ALL_TRAIN,train,6901,50689,0.5136186450205926,0.6637445047051678,5.752552032470703,1.3207931518554688,1.8236618041992188,-0.8526592254638672
test,Filtered CNN-LSTM Teacher,06-01-17_10.36 0degC_LA92_Pan18650PF.mat,LA92,8208,50689,0.8529366656818352,1.0365373515816931,4.101741790771484,2.0266321182250975,2.713747825622564,-0.5404796600341797
test,Filtered CNN-LSTM Teacher,06-01-17_10.36 0degC_NN_Pan18650PF.mat,NN,6269,50689,1.805993805016831,2.698807019919191,13.001014709472656,6.310769462585447,9.67984985351562,-2.050203323364258
test,Filtered CNN-LSTM Teacher,06-02-17_17.14 0degC_UDDS_Pan18650PF.mat,UDDS,12794,50689,0.9931994803868291,1.4697491570238936,5.537452697753906,3.485123920440672,4.586365776062012,0.4787578582763672
test_average,Filtered CNN-LSTM Teacher,AVERAGE_TEST_CYCLES,test_average,27271,50689,1.2173766503618317,1.7350311761749257,7.546736399332683,3.940841833750406,5.659987818400065,-0.7039750417073568
