epoch,train_RMSE,val_RMSE
1,63.71298026800894,63.10565529703935
2,63.52932724553792,62.69674112468885
3,62.88636749397767,61.89440588994089
4,61.9883359845268,61.098441316043406
5,61.2890119957909,60.30435906844753
6,60.43229336599112,59.46588233692808
7,59.59112794991543,58.569795103256936
8,58.6538098436895,57.610902729268616
9,57.61929959809183,56.58761959480404
10,56.61772081546211,55.500035191430285
11,55.5123239627621,54.34822437014387
12,54.361569324089515,53.13282800782747
13,53.10360692222433,51.85594058754262
14,51.76947417478475,50.51867692992365
15,50.440667289139434,49.12323569509901
16,49.014568331886395,47.67212850227583
17,47.592149421865706,46.168303055573205
18,45.97288401088993,44.61535369305336
19,44.558697877082494,43.01806261255265
20,42.914670818618944,41.38161413334731
21,41.33839717146657,39.71217859682657
22,39.58373767464615,38.01909117726662
23,37.93219461241122,36.310923346795725
24,36.225157274553375,34.60593944573496
25,34.52380484945832,32.911684172617555
26,32.88404173994487,31.249837890204528
27,31.373269013282616,29.64731655489667
28,29.947241031457395,28.134620750342894
29,28.634640941180965,26.748494043473737
30,27.363212182537488,25.533422968269697
31,26.3482170099439,24.541896575040813
32,25.41976084163293,23.824188967947446
33,24.816515278853892,22.66223789406482
34,20.711981764574617,16.764086820748506
35,17.639264302978198,14.531864276330932
36,15.731411004645809,12.307849296155482
37,13.784971495297006,10.348448086917053
38,12.57383695823643,8.671929106672422
39,11.406097255811307,7.090515205807619
40,10.600995414964737,5.69832109855922
41,9.77094214901001,4.605310335419587
42,9.359397693463686,3.7800948214874235
43,8.992112404551282,3.109575581430826
44,8.624650170160141,2.8327713203277605
45,8.515725919392986,2.493939301230127
46,8.679970884657266,2.6382497002203733
47,8.5547911197884,2.610096723145486
48,8.592946295869721,2.4473583694018433
49,8.57791069134302,2.454391735574518
50,8.532149302913524,1.998826755674548
51,8.501403708716115,1.9862010693869987
52,8.694314814478078,1.9537845566049317
53,8.526778569928231,2.441820277393454
54,8.442954223024882,1.7845064478891588
55,8.459702601283063,1.7998567471190996
56,8.711763237983847,1.9670103955403846
57,8.367105044736777,1.4944794314345162
58,8.504093202405484,1.688770804682954
59,8.28320786192053,2.2787135406607444
60,8.471585005839268,1.5770882704274123
61,8.27479188712524,1.4675070190261827
62,8.404420601941604,2.0224312301656915
63,8.813744175980112,1.6296491141109735
64,7.883800035881394,1.463134500830372
65,8.429638602237304,1.8637573145845026
66,8.454384169313983,1.513833077983645
67,8.377160735067555,1.9724829871504033
68,8.162311216452487,1.367381752383177
69,8.45313104388049,1.4401945484718792
70,8.450728937859031,1.612637370564266
71,8.287686181437836,1.7799378631761809
72,8.500228053327426,1.358529364983496
73,8.652656915109175,1.5482892593883433
74,8.28880243701104,1.7411041312587339
75,8.381211756871654,1.330731067792974
76,8.643374061664352,1.5923463961122881
77,8.41805119257566,1.9993116267023294
78,8.632247178370449,1.2977487309507905
79,8.37435857760744,1.7026411296589337
80,8.390456481848796,1.8887888291291568
