split,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,MAE_fraction,RMSE_fraction,MAX_ERROR_fraction,P95_ABS_ERROR_fraction,P99_ABS_ERROR_fraction,FINAL_ERROR_fraction
train,ALL_TRAIN_FILES,train_combined,9790,0.4154471361844118,0.5478839129068728,2.9755859375,1.1237917900085428,1.5844406890869205,1.2250614166259766,0.004154471361844118,0.005478839129068728,0.029755859375,0.011237917900085428,0.015844406890869203,0.012250614166259766
test,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,0.5786534993294526,0.696998315971811,2.228818893432617,1.2927215576171875,1.730496835708618,1.8698515892028809,0.005786534993294527,0.00696998315971811,0.022288188934326172,0.012927215576171875,0.01730496835708618,0.018698515892028807
test,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,0.3773550044717856,0.5048091865655318,2.601409912109375,1.0944103240966796,1.45650032043457,0.6658716201782227,0.0037735500447178562,0.005048091865655318,0.02601409912109375,0.010944103240966795,0.014565003204345698,0.006658716201782227
test,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,0.5202681558648335,0.6616667279427932,5.306667327880859,1.28157033920288,1.8109522056579597,0.7557640075683594,0.005202681558648336,0.006616667279427933,0.053066673278808596,0.012815703392028801,0.018109522056579598,0.007557640075683594
test_average,AVERAGE_TEST_CYCLES,test_average,48029,0.4920922198886906,0.6211580768267121,3.378965377807617,1.2229007403055825,1.6659831206003826,1.097162405649821,0.004920922198886906,0.006211580768267121,0.03378965377807617,0.012229007403055825,0.016659831206003825,0.01097162405649821
