epoch,train_RMSE,val_RMSE
1,59.89653276930219,59.05051755105009
2,59.34103911889102,58.23256176745104
3,58.295236308218705,57.01788156674514
4,57.0972964261336,55.80993222676632
5,55.84308050642839,54.593908754062255
6,54.67136470571694,53.3690213645168
7,53.3247892067038,52.08890855576885
8,52.05850115888436,50.742052179380764
9,50.671973040323216,49.32898122475139
10,49.201111332535305,47.84625544550221
11,47.72169174789647,46.2994061491681
12,46.091806745118554,44.69031350408889
13,44.480637730379705,43.02293316732731
14,42.7076714165955,41.3054034302906
15,40.96931706731707,39.548736251143346
16,39.17450391421334,37.75419542860022
17,37.42169341466034,35.92838369427175
18,35.542860090030715,34.09179681905256
19,33.69050688440582,32.26431406235165
20,31.81622949200533,30.430612148981144
21,29.809456593999982,28.265268706295053
22,27.856365035227626,26.43148987905454
23,26.142177824278306,24.705960018773176
24,24.073534797451682,22.31406873643215
25,22.098913152476864,20.50370271319724
26,20.333944509524123,18.75068195374421
27,18.668325185376883,17.146113168218147
28,17.258219104878503,15.726455286364548
29,15.377991138438544,13.5387790515987
30,12.982676294037782,10.473456483437033
31,11.013476237492938,8.80329750008484
32,9.731657996754542,7.077303605071593
33,8.770490913843219,5.767268910501326
34,8.02360134650254,4.869798869027372
35,7.32429362335467,4.307941404675574
36,7.269772806583604,3.4540688446022543
37,6.985656517270236,2.953457122372669
38,6.6070198668912345,3.2990738464952414
39,6.621768518819979,2.6071666578337434
40,6.421997051152188,2.250072584041095
41,6.5450407838251685,1.7981006588579451
42,6.465650112534039,1.4564562115358002
43,6.096517963032814,1.4939247922900674
44,6.2714013284370385,1.201639075251265
45,6.32860336236756,1.5013536067788595
46,6.036116919693176,1.6237418365860636
47,6.291206698261322,1.3231645737299231
48,6.252256344495728,1.2834005682948897
49,6.319115135478471,1.5596952059904523
50,6.264808506455612,1.3744623260025284
51,6.2053041607165715,1.029883780172419
52,6.265044015973657,1.2485866185436827
53,6.300327140971281,1.350509453826208
54,6.280191126081388,0.9466638915151117
55,6.2014743759730395,1.0016539128761563
56,6.112999960626637,0.9204459671622615
57,6.17390205975563,1.1190749543580065
58,6.060961675036572,0.9545685826736376
59,6.023870878878226,0.9729734156447555
60,6.2716569297259745,1.0351013169017953
61,6.28348230026367,0.9356341550247886
62,6.191876897708773,1.0559426080467855
63,6.123604147726177,1.5143772770403636
64,6.1931870512188585,1.2286678153229462
65,6.110237146486398,1.0574661950193507
66,6.193399275227624,0.9490047574682744
67,6.143916815873163,1.0377539519232681
68,6.235273858313527,0.9205716504956521
69,6.32708346225983,1.0252107008253137
70,6.115556546223876,0.7110926699813523
71,6.152912469204578,0.7864690784116102
72,6.128697073974253,1.474549066181889
73,6.2281889681234,1.2586453920326932
74,6.187510368681768,0.9587465445842918
75,6.268843801919103,1.2620368296755042
76,6.164333892660169,1.3063833214287928
77,6.138032305712841,1.0850436147370541
78,6.2380367895709625,1.2808730338468601
79,6.197294173175681,0.8938636120697732
80,6.253364817821107,1.353369414564195
81,6.0410006133072605,1.131266044797975
82,6.191646987906792,1.694687758974523
83,6.1384320254947164,0.9412051734027465
84,6.102259203067773,1.213957582945641
85,6.052399902150116,1.5334181713738626
