split,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,MAE_fraction,RMSE_fraction,MAX_ERROR_fraction,P95_ABS_ERROR_fraction,P99_ABS_ERROR_fraction,FINAL_ERROR_fraction
train,ALL_TRAIN_FILES,train_combined,9790,0.5747200293487378,0.7509111503115957,6.9798431396484375,1.4855394363403316,2.0777323579788214,1.3686580657958984,0.005747200293487378,0.0075091115031159575,0.06979843139648438,0.014855394363403315,0.020777323579788214,0.013686580657958984
test,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,0.7958129918212754,0.9352369746206002,3.805668830871582,1.6345642089843744,2.280023856163025,2.4464516639709473,0.007958129918212754,0.009352369746206003,0.03805668830871582,0.016345642089843744,0.02280023856163025,0.02446451663970947
test,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,0.5409098742854375,0.7015402400631404,4.415309906005859,1.4068634033203096,1.9744336700439435,-0.5629043579101562,0.005409098742854375,0.007015402400631404,0.04415309906005859,0.014068634033203097,0.019744336700439437,-0.005629043579101562
test,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,0.6537698043580727,0.8643308421869227,7.369335174560547,1.7140336036682111,2.4617568016052274,-0.7275457382202148,0.006537698043580727,0.008643308421869228,0.07369335174560547,0.01714033603668211,0.024617568016052273,-0.007275457382202148
test_average,AVERAGE_TEST_CYCLES,test_average,48029,0.6634975568215952,0.8337026856235544,5.196771303812663,1.5851537386576318,2.238738109270732,0.3853338559468587,0.006634975568215951,0.008337026856235545,0.05196771303812663,0.01585153738657632,0.022387381092707322,0.003853338559468587
