split,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
train,ALL_TRAIN_FILES,train_combined,9790,0.4810298531730036,0.6447286304106813,3.5378189086914062,1.2809050083160398,2.110852546691895,-0.20314407348632812
test,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22360,0.5286738225300538,0.7113091700810373,2.80474853515625,1.568497848510742,2.249585494995116,-0.006859302520751953
test,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14029,0.4902326383460859,0.705052571948847,2.9925994873046875,1.4848876953124968,2.3539744186401363,-2.419586181640625
test,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11640,0.48332111352088114,0.6651665945527409,3.5844573974609375,1.38107213973999,1.9947392272949227,-1.393341064453125
test_average,AVERAGE_TEST_CYCLES,test_average,48029,0.500742524799007,0.6938427788608751,3.1272684733072915,1.4781525611877429,2.199433046976725,-1.2732621828715007
