epoch,train_RMSE,val_RMSE
1,64.01898661041022,63.425218176851786
2,63.94524261766406,63.26915393652542
3,63.678678427056866,62.91474498651926
4,63.18730770921091,62.45864256650155
5,62.80158154038172,61.96817282572865
6,62.24858493476891,61.43601775297411
7,61.70774865219196,60.85601121961987
8,61.09410665656764,60.23204843107301
9,60.415962086344685,59.5618769642126
10,59.76608864199246,58.842355931441936
11,59.03759484118316,58.07793583504303
12,58.29000780977105,57.27013326387935
13,57.42097985818323,56.41933496082593
14,56.533604713604305,55.52668409408557
15,55.663009545178866,54.59288467044607
16,54.66000217481807,53.61866221289002
17,53.73590921121164,52.60482002482044
18,52.62062376095165,51.5526979319463
19,51.63833404795093,50.46256976478333
20,50.51079473089983,49.33586265334782
21,49.414336796951844,48.17411252101589
22,48.21547192602874,46.9792902345012
23,46.980604071261894,45.75205447060547
24,45.67981128507624,44.49504010280247
25,44.49879162465749,43.210837919113246
26,43.18176476246469,41.90211051050263
27,41.92694209691347,40.571716860201704
28,40.55535351461742,39.22350879992922
29,39.2886064371451,37.86351801000205
30,37.97319186521562,36.49434419472591
31,36.57624137238656,35.12332312222802
32,35.27632822902219,33.7583793128184
33,33.875391690931146,32.408856573088165
34,32.54790780511451,31.085999348078712
35,31.50574729890918,29.802618088380676
36,30.271844032083973,28.57388846570906
37,28.95978843846532,27.42039481403965
38,28.005148161340692,26.36164409320623
39,27.024650059074396,25.423392317964275
40,26.278663732203416,24.631374095729008
41,25.566892789419914,24.014482578959644
42,25.170404614349287,23.450238725630545
43,23.847367449915613,19.33114050344838
44,19.114737727025634,16.53972675213095
45,17.667279920876187,15.18254906603559
46,16.487970681889777,13.733977258888128
47,15.250613251623912,12.54751467469629
48,14.589154667940281,11.300411277645841
49,13.421738616742747,10.270242567011449
50,12.761993110340084,9.38570718319154
51,12.025938247953155,8.017018812327125
52,11.358361847983014,7.128178473125274
53,10.478770768512023,6.255903583886097
54,9.983225745432529,5.363546544103231
55,9.646386119426099,4.498757720711695
56,9.359561356977967,4.164622199427559
57,8.953822669629432,3.695685918219773
58,8.908009091997043,3.1200803560521733
59,8.640647531419416,3.0520754522193645
60,8.505816048638014,2.4385874352172037
61,8.456612165104906,2.352561358341836
62,8.727039309007928,2.416119831523926
63,8.943458499215714,1.97934271046229
64,8.499046945435287,2.246564361363488
65,8.553510320384301,1.9476941095460425
66,8.50763813607266,1.8344078671891828
67,8.463585565362344,2.0622768859405536
68,8.231959016707707,1.6857802493603076
69,8.628709954789185,1.8815124582105778
70,8.76636695684487,1.643280060751284
71,8.492283652487327,1.9585136235892744
72,8.7366934900899,1.5540423564268921
73,8.650052185594184,1.4341166943110353
74,8.41963555483479,1.556197310325574
75,8.53893330488391,1.2998018443866821
76,8.631546379407775,1.548957963578728
77,8.199796638226639,1.5093151767793382
78,8.469163127468796,1.3899958183719665
79,8.39664087893462,1.2913053478923415
80,8.253147961362806,1.7114568470789593
81,8.414307657139654,1.74798795291756
82,8.08619152694165,1.3794454757600199
83,8.515240885819498,1.3348097474908025
84,8.42754921244822,1.382513671310734
85,8.431376137194386,1.0963595730730558
86,8.298923636682245,1.4717818277273111
87,8.479588652643697,1.2087277831883068
88,8.511546402868678,1.0468896893282043
89,8.459135905593184,1.418392065664821
90,8.460580733496078,1.3608768103608442
91,8.47010377350339,1.3581045944991164
92,8.315922140255141,1.3992594003230405
93,8.300119467120082,1.4393966435980454
94,8.430087309984625,0.9693768841782341
95,8.351220302970678,1.666164735871873
96,8.36056072550118,1.5557982344398038
97,8.652979925116703,0.9579163487253965
98,8.798175482363106,1.5105092338171182
99,8.525797348545577,1.4195237893814936
100,8.516670604822565,1.208140582572747
