group,method,feature_set,sample_count,MAE_percent,MAE_fraction,RMSE_percent,RMSE_fraction,MAX_ERROR_percent,MAX_ERROR_fraction,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,aggregation,paper_note
Basic baseline,Instantaneous MLP,"Raw V, I, T",48206,1.52,0.0152,1.9863,0.019863,18.7491,0.187491,3.7795,5.8724,"unweighted profile-wise macro average over UDDS, LA92, and NN",Simple data-driven baseline without temporal feature engineering.
Strong lightweight baseline,Filtered-feature MLP,Raw + EMA filtered V/I,48206,0.4738,0.004738,0.5967,0.005967,3.8619,0.038619,1.1406,1.5927,"unweighted profile-wise macro average over UDDS, LA92, and NN",Best lightweight model in the current 25degC split.
Sequence baseline,LSTM,"Raw V, I, T",48029,0.4816,0.004816,0.6124,0.006124000000000001,3.4069,0.034068999999999995,1.189,1.6558,"unweighted profile-wise macro average over UDDS, LA92, and NN",Strong recurrent sequence baseline using 60-s windows.
CNN-LSTM compression,CNN-LSTM Teacher,"Raw V, I, T",48029,0.8774,0.008773999999999999,1.0743,0.010743,5.3495,0.053495,2.035,2.8019,"unweighted profile-wise macro average over UDDS, LA92, and NN",Original teacher model without filtered features.
CNN-LSTM compression,Tiny CNN-LSTM Student,"Raw V, I, T",48029,0.8309,0.008309,1.0522,0.010522,5.5824,0.055824,2.0702,2.8543,"unweighted profile-wise macro average over UDDS, LA92, and NN",Compact student trained directly with ground-truth SOC labels.
CNN-LSTM compression,Distilled Tiny CNN-LSTM,"Raw V, I, T",48029,0.9521,0.009521,1.3149,0.013149,6.6483,0.066483,2.6133,4.5438,"unweighted profile-wise macro average over UDDS, LA92, and NN",Knowledge-distilled compact student from the original teacher.
Filtered CNN-LSTM compression,Filtered-feature CNN-LSTM Teacher,Raw + EMA filtered V/I,48029,0.5891,0.0058909999999999995,0.8167,0.008167,3.3169,0.033169,1.7371,2.349,"unweighted profile-wise macro average over UDDS, LA92, and NN",Improved teacher using filtered dynamic features.
Filtered CNN-LSTM compression,Filtered-feature Tiny CNN-LSTM Student,Raw + EMA filtered V/I,48029,0.739,0.00739,0.9628,0.009628,4.0456,0.040456000000000006,1.8153,3.0142,"unweighted profile-wise macro average over UDDS, LA92, and NN",Compact filtered-feature student trained directly.
Filtered CNN-LSTM compression,Filtered-feature Distilled Tiny CNN-LSTM,Raw + EMA filtered V/I,48029,0.7745,0.007744999999999999,1.0342,0.010342,4.3648,0.043648,2.042,3.1897,"unweighted profile-wise macro average over UDDS, LA92, and NN",Distilled compact model using the filtered-feature teacher.
