split,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent,MAE_fraction,RMSE_fraction,MAX_ERROR_fraction,P95_ABS_ERROR_fraction,P99_ABS_ERROR_fraction,FINAL_ERROR_fraction
train,ALL_TRAIN_FILES,train_combined,49231,0.3374174234854384,0.4475255195778865,3.5329035623584844,0.901240988984764,1.344861777222917,0.090093100495773,0.003374174234854384,0.004475255195778865,0.035329035623584845,0.00901240988984764,0.01344861777222917,0.00090093100495773
test,03-21-17_00.29 25degC_UDDS_Pan18650PF.mat,UDDS,22419,0.6546260072338999,0.7578495036546997,3.9200725377856,1.3245683450282897,1.6225157694282255,1.6594062600139825,0.006546260072338998,0.007578495036546997,0.039200725377855995,0.013245683450282897,0.016225157694282254,0.016594062600139826
test,03-21-17_09.38 25degC_LA92_Pan18650PF.mat,LA92,14088,0.3340798416083868,0.4406985768359506,2.8930148848195465,0.8802179042594345,1.3478217084903046,-0.5759552578927014,0.0033407984160838677,0.004406985768359506,0.028930148848195465,0.008802179042594345,0.013478217084903045,-0.005759552578927014
test,03-21-17_16.27 25degC_NN_Pan18650PF.mat,NN,11699,0.4159263762034306,0.5497943328095236,4.18916328693517,1.089567890293773,1.6835911264345014,-0.8504473720149495,0.004159263762034306,0.005497943328095236,0.04189163286935169,0.01089567890293773,0.016835911264345013,-0.008504473720149494
test_average,AVERAGE_TEST_CYCLES,test_average,48206,0.4682107416819057,0.5827808044333913,3.6674169031801056,1.0981180465271658,1.551309534784344,0.0776678767021105,0.004682107416819057,0.005827808044333913,0.036674169031801054,0.010981180465271658,0.015513095347843439,0.0007766787670211051
