split,method,file_name,cycle_name,sample_count,MAE_percent,RMSE_percent,MAX_ERROR_percent,P95_ABS_ERROR_percent,P99_ABS_ERROR_percent,FINAL_ERROR_percent
train,Instantaneous MLP,ALL_TRAIN,train,41669,1.9814820945493705,2.8293687603391207,70.93186558059696,5.465499195277209,9.621243022502732,3.221761886891233
test,Instantaneous MLP,03-27-17_09.06 10degC_LA92_Pan18650PF.mat,LA92,12596,1.9387240323975556,2.780809161391744,34.86312133975187,5.650657296938838,9.827105700028815,3.0278507127258187
test,Instantaneous MLP,03-27-17_09.06 10degC_NN_Pan18650PF.mat,NN,10511,2.3173043399197537,3.0307969375976187,33.6940582359597,5.783838653560387,8.83903105299527,1.8412397848213757
test,Instantaneous MLP,03-27-17_09.06 10degC_UDDS_Pan18650PF.mat,UDDS,21047,1.9240742962292356,2.5605965162507207,16.215279050313782,5.200676979992752,7.49176842236595,7.043394319309936
test_average,Instantaneous MLP,AVERAGE_TEST_CYCLES,test_average,44154,2.060034222848848,2.790734205080028,28.257486208675118,5.545057643497326,8.719301725130011,3.97082827228571
