epoch,train_RMSE,val_RMSE
1,59.82339317949166,59.13259729201822
2,59.694624406238574,58.87413746714257
3,59.23999834921711,58.24258729322879
4,58.570829418502406,57.549590113793386
5,57.87654858408676,56.884078087315
6,57.22954856013853,56.18479727926853
7,56.43426718043067,55.43683941263697
8,55.69133444428435,54.60389368056206
9,54.79504313521313,53.687320375863656
10,53.82811015635104,52.72603406258383
11,52.88243321762056,51.716543098684824
12,51.831422302408654,50.65903562667769
13,50.78036785364326,49.55219884279859
14,49.60434782748536,48.39989972064767
15,48.44480318232342,47.20355687074863
16,47.204682882068866,45.96517023790948
17,46.00253642732535,44.68994475393067
18,44.749526016672576,43.3822237095377
19,43.32147307736434,42.045927095874134
20,42.0405308625331,40.68922057373965
21,40.63709273326558,39.317654173252755
22,39.28815348613551,37.94248384170606
23,37.93572799812378,36.57374626717401
24,36.552265022066294,35.224943305268425
25,35.28129938246403,33.91282518331468
26,33.97147618543484,32.65499586407587
27,32.87739870172822,31.47226426504375
28,31.63658410410393,30.39154983329299
29,30.64172240402066,29.44047307836824
30,29.816188666697037,28.650420915797095
31,29.010511416610544,26.69082513682136
32,25.04367781324911,21.460060104470816
33,21.947003533433254,19.614029265884376
34,20.19413901109683,17.870882427029258
35,18.8577076893514,16.17720134206528
36,17.47350423888082,14.494707917622469
37,15.90997988376327,12.809206655624086
38,14.685964824594262,11.258345157853324
39,13.616040081128588,9.664596555196033
40,12.483252793435126,8.384638008943238
41,11.801798420808213,7.175265838270629
42,11.200245749679768,6.234516648903825
43,10.272497351015272,5.694704627732604
44,10.454080175769048,4.622823460816769
45,9.95071567652825,4.320700326243895
46,9.583450001042895,3.764515693590292
47,9.609957365107974,2.57062581944099
48,9.129954961488199,1.9841291019943075
49,9.150287741267762,2.129450681173961
50,9.037287064380543,2.040326190937024
51,8.674573710315318,2.4740116689186324
52,8.610190002135436,2.4381441096711094
53,8.395978163796562,2.5175422328524215
54,8.621679150052366,1.4411631640224096
55,8.404190696479874,2.1915472464667727
56,8.424791643948288,1.3784259683753215
57,8.510601996595572,2.133631398816207
58,7.985106881605238,1.696635349836535
59,8.173361231279987,1.4119726091056959
60,8.428345000197881,1.4737088516871355
61,8.196692412740946,2.0838435374812554
62,8.135854354142184,1.5917686413092338
63,8.369697199810943,1.3483040841980978
64,8.026087224763252,1.1306522159875052
65,7.738270076131929,2.0026269588157293
66,8.052700296191826,1.4398721941551267
67,8.000285540889054,1.997226222138459
68,7.863822729668947,1.6939584273018993
69,8.051466270555348,1.4126052513406258
70,7.852395397530098,1.5938736362746122
71,7.809781109807746,1.5487617776713856
72,7.8433423514927725,1.3448803605257262
73,7.788881653817648,1.7045871163103001
74,7.78773142249369,1.3480406282114934
75,7.97406423780142,1.1841134419158519
76,8.123264474177885,1.2287439276699466
